sequential: 34652338us [238us] (95.83%; 95.83%)
	RemoveUnusedFunctions: 247us [247us] (0.00%; 0.00%)
	ToBasicBlockNormalForm: 4305us [4305us] (0.01%; 0.01%)
	sequential: 73160us [34us] (0.20%; 0.21%)
		InferType: 16376us [16376us] (0.05%; 22.38%)
		Legalize: 19791us [3339us] (0.05%; 27.05%)
			InferType: 16452us [16452us] (0.05%; 83.13%)
		InferType: 18032us [18032us] (0.05%; 24.65%)
		Legalize: 18927us [3094us] (0.05%; 25.87%)
			InferType: 15832us [15832us] (0.04%; 83.65%)
	InferType: 17314us [17314us] (0.05%; 0.05%)
	Legalize: 24811us [8482us] (0.07%; 0.07%)
		InferType: 16329us [16329us] (0.05%; 65.81%)
	InferType: 17777us [17777us] (0.05%; 0.05%)
	SimplifyInference: 39581us [9203us] (0.11%; 0.11%)
		InferType: 30377us [30377us] (0.08%; 76.75%)
	InferType: 33251us [33251us] (0.09%; 0.10%)
	EliminateCommonSubexpr: 59487us [28781us] (0.16%; 0.17%)
		InferType: 30706us [30706us] (0.08%; 51.62%)
	FoldConstant: 16984711us [16969109us] (46.97%; 49.01%)
		InferType: 15601us [15601us] (0.04%; 0.09%)
	FoldScaleAxis: 6570059us [43us] (18.17%; 18.96%)
		InferType: 14253us [14253us] (0.04%; 0.22%)
		BackwardFoldScaleAxis: 26497us [9505us] (0.07%; 0.40%)
			InferType: 16991us [16991us] (0.05%; 64.13%)
		InferType: 17741us [17741us] (0.05%; 0.27%)
		ForwardFoldScaleAxis: 25732us [8418us] (0.07%; 0.39%)
			InferType: 17313us [17313us] (0.05%; 67.28%)
		FoldConstant: 6485793us [6473372us] (17.94%; 98.72%)
			InferType: 12421us [12421us] (0.03%; 0.19%)
	InferType: 15207us [15207us] (0.04%; 0.04%)
	SimplifyExpr: 620757us [76614us] (1.72%; 1.79%)
		InferType: 32357us [32357us] (0.09%; 5.21%)
		InferType: 33775us [33775us] (0.09%; 5.44%)
		InferType: 30569us [30569us] (0.08%; 4.92%)
		InferType: 26672us [26672us] (0.07%; 4.30%)
		InferType: 32621us [32621us] (0.09%; 5.26%)
		InferType: 31709us [31709us] (0.09%; 5.11%)
		InferType: 25772us [25772us] (0.07%; 4.15%)
		InferType: 32512us [32512us] (0.09%; 5.24%)
		InferType: 29692us [29692us] (0.08%; 4.78%)
		InferType: 30788us [30788us] (0.09%; 4.96%)
		InferType: 31539us [31539us] (0.09%; 5.08%)
		InferType: 34561us [34561us] (0.10%; 5.57%)
		InferType: 31797us [31797us] (0.09%; 5.12%)
		InferType: 27987us [27987us] (0.08%; 4.51%)
		InferType: 35764us [35764us] (0.10%; 5.76%)
		InferType: 31142us [31142us] (0.09%; 5.02%)
		InferType: 28919us [28919us] (0.08%; 4.66%)
		InferType: 15967us [15967us] (0.04%; 2.57%)
	InferType: 13587us [13587us] (0.04%; 0.04%)
	CanonicalizeCast: 19903us [2372us] (0.06%; 0.06%)
		InferType: 17530us [17530us] (0.05%; 88.08%)
	InferType: 15615us [15615us] (0.04%; 0.05%)
	CanonicalizeOps: 14873us [2307us] (0.04%; 0.04%)
		InferType: 12566us [12566us] (0.03%; 84.49%)
	InferType: 15736us [15736us] (0.04%; 0.05%)
	FlattenAtrousConv: 19161us [3945us] (0.05%; 0.06%)
		InferType: 15216us [15216us] (0.04%; 79.41%)
	InferType: 16380us [16380us] (0.05%; 0.05%)
	InferType: 20722us [20722us] (0.06%; 0.06%)
	AlterOpLayout: 328298us [286682us] (0.91%; 0.95%)
		InferType: 41616us [41616us] (0.12%; 12.68%)
	FoldConstant: 9580408us [9559369us] (26.49%; 27.65%)
		InferType: 21039us [21039us] (0.06%; 0.22%)
	InferType: 19717us [19717us] (0.05%; 0.06%)
	SplitArgs: 22533us [2771us] (0.06%; 0.07%)
		InferType: 19761us [19761us] (0.05%; 87.70%)
	PlanDevices: 43280us [16us] (0.12%; 0.12%)
		PlanDevicesRewrite: 22846us [3354us] (0.06%; 52.79%)
			InferType: 19492us [19492us] (0.05%; 85.32%)
		PlanDevicesCore: 20418us [20418us] (0.06%; 47.18%)
	InferType: 20184us [20184us] (0.06%; 0.06%)
	FuseOps: 41036us [7975us] (0.11%; 0.12%)
		InferType: 33061us [33061us] (0.09%; 80.57%)
InferType: 32597us [32597us] (0.09%; 0.09%)
InlineGlobals: 520us [520us] (0.00%; 0.00%)
InferType: 32974us [32974us] (0.09%; 0.09%)
LabelOps: 58418us [27260us] (0.16%; 0.16%)
	InferType: 31159us [31159us] (0.09%; 53.34%)
AnnotateMemoryScope: 36992us [5537us] (0.10%; 0.10%)
	InferType: 31454us [31454us] (0.09%; 85.03%)
sequential: 1230040us [26us] (3.40%; 3.40%)
	RelayToTIRTargetHook: 554us [554us] (0.00%; 0.05%)
	InferType: 34553us [34553us] (0.10%; 2.81%)
	LowerTE: 1185826us [2206us] (3.28%; 96.41%)
		LowerTensorExpr: 1183619us [612779us] (3.27%; 99.81%)
			sequential: 2282us [36us] (0.01%; 0.19%)
				tir.InjectPrefetch: 15us [15us] (0.00%; 0.67%)
				tir.TextureFlatten: 138us [138us] (0.00%; 6.07%)
				tir.StorageFlatten: 691us [34us] (0.00%; 30.27%)
					tir.StorageFlatten_impl: 657us [10us] (0.00%; 95.15%)
						tir.BufferShapeLegalize: 88us [88us] (0.00%; 13.43%)
						tir.BufferStrideLegalize: 71us [71us] (0.00%; 10.84%)
						tir.ThreadScopePropagate: 10us [10us] (0.00%; 1.60%)
						tir.BufferBindUnwrapper: 123us [123us] (0.00%; 18.68%)
						tir.ApplyLayoutTransforms: 4us [4us] (0.00%; 0.60%)
						tir.StorageFlattener: 235us [235us] (0.00%; 35.74%)
						tir.AssertSimplifier: 115us [115us] (0.00%; 17.54%)
				tir.LowerCrossThreadReduction: 6us [6us] (0.00%; 0.27%)
				tir.LowerInitBlock: 6us [6us] (0.00%; 0.25%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.18%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.17%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.18%)
				tir.ManifestSharedMemoryLocalStage: 38us [38us] (0.00%; 1.66%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.19%)
				tir.LowerMatchBuffer: 16us [16us] (0.00%; 0.71%)
				tir.InjectSoftwarePipeline: 22us [22us] (0.00%; 0.95%)
				tir.LowerOpaqueBlock: 5us [5us] (0.00%; 0.20%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.17%)
				tir.BF16Legalize: 88us [17us] (0.00%; 3.85%)
					tir.BF16Promote: 12us [12us] (0.00%; 13.34%)
					tir.BF16CastElimination: 43us [43us] (0.00%; 48.39%)
					tir.BF16TypeLowering: 16us [16us] (0.00%; 18.76%)
				tir.NarrowDataType: 186us [186us] (0.00%; 8.13%)
				tir.Simplify: 195us [195us] (0.00%; 8.53%)
				tir.LoopPartition: 17us [17us] (0.00%; 0.76%)
				tir.VectorizeLoop: 18us [18us] (0.00%; 0.77%)
				tir.InjectVirtualThread: 16us [16us] (0.00%; 0.68%)
				tir.InjectDoubleBuffer: 6us [6us] (0.00%; 0.26%)
				tir.StorageRewrite: 30us [30us] (0.00%; 1.33%)
				tir.LowerVtcmAlloc: 5us [5us] (0.00%; 0.21%)
				tir.UnrollLoop: 7us [7us] (0.00%; 0.32%)
				tir.RenormalizeSplitPattern: 59us [59us] (0.00%; 2.60%)
				tir.Simplify: 59us [59us] (0.00%; 2.59%)
				tir.RemoveNoOp: 13us [13us] (0.00%; 0.59%)
				tir.RewriteUnsafeSelect: 5us [5us] (0.00%; 0.20%)
				tir.HoistIfThenElse: 119us [5us] (0.00%; 5.24%)
					tir.InsertHoistIfThenElse: 44us [44us] (0.00%; 37.01%)
					tir.Simplify: 60us [60us] (0.00%; 50.00%)
					tir.RemoveNoOp: 10us [10us] (0.00%; 8.62%)
				tir.CommonSubexprElimTIR: 465us [465us] (0.00%; 20.39%)
			tir.BindParams: 34us [34us] (0.00%; 0.00%)
			sequential: 17456us [40us] (0.05%; 1.47%)
				tir.InjectPrefetch: 25us [25us] (0.00%; 0.14%)
				tir.TextureFlatten: 392us [392us] (0.00%; 2.24%)
				tir.StorageFlatten: 2038us [29us] (0.01%; 11.67%)
					tir.StorageFlatten_impl: 2009us [10us] (0.01%; 98.56%)
						tir.BufferShapeLegalize: 275us [275us] (0.00%; 13.69%)
						tir.BufferStrideLegalize: 238us [238us] (0.00%; 11.84%)
						tir.ThreadScopePropagate: 45us [45us] (0.00%; 2.24%)
						tir.BufferBindUnwrapper: 257us [257us] (0.00%; 12.81%)
						tir.ApplyLayoutTransforms: 4us [4us] (0.00%; 0.18%)
						tir.StorageFlattener: 970us [970us] (0.00%; 48.31%)
						tir.AssertSimplifier: 209us [209us] (0.00%; 10.41%)
				tir.LowerCrossThreadReduction: 6us [6us] (0.00%; 0.03%)
				tir.LowerInitBlock: 5us [5us] (0.00%; 0.03%)
				tir.PlanAndUpdateBufferAllocationLocation: 4us [4us] (0.00%; 0.02%)
				tir.ConvertBlocksToOpaque: 4us [4us] (0.00%; 0.02%)
				tir.UnifyThreadBinding: 4us [4us] (0.00%; 0.02%)
				tir.ManifestSharedMemoryLocalStage: 10us [10us] (0.00%; 0.06%)
				tir.CompactBufferAllocation: 4us [4us] (0.00%; 0.02%)
				tir.LowerMatchBuffer: 49us [49us] (0.00%; 0.28%)
				tir.InjectSoftwarePipeline: 63us [63us] (0.00%; 0.36%)
				tir.LowerOpaqueBlock: 5us [5us] (0.00%; 0.03%)
				tir.FlattenBuffer: 4us [4us] (0.00%; 0.02%)
				tir.BF16Legalize: 78us [5us] (0.00%; 0.45%)
					tir.BF16Promote: 25us [25us] (0.00%; 32.43%)
					tir.BF16CastElimination: 20us [20us] (0.00%; 24.92%)
					tir.BF16TypeLowering: 28us [28us] (0.00%; 36.21%)
				tir.NarrowDataType: 270us [270us] (0.00%; 1.54%)
				tir.Simplify: 1588us [1588us] (0.00%; 9.10%)
				tir.LoopPartition: 56us [56us] (0.00%; 0.32%)
				tir.VectorizeLoop: 50us [50us] (0.00%; 0.29%)
